                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 0.5705,                 0.3835,                 1.0103,                0.89246,                0.79903,                0.89874,                0.68486,                0.92679,                0.58828,                 1.2752,             0.00039591,             0.00039591,             0.00039591
                    137,                0.57834,                0.37588,                 1.0146,                0.85785,                0.79305,                 0.8829,                0.68089,                0.91642,                0.61181,                 1.2886,             0.00039356,             0.00039356,             0.00039356
                    138,                0.56836,                0.38861,                 1.0114,                 0.8779,                 0.8139,                0.90464,                0.68769,                 0.9141,                0.57192,                 1.2815,              0.0003912,              0.0003912,              0.0003912
                    139,                0.56878,                0.37558,                 1.0022,                 0.8436,                0.84393,                 0.9018,                0.69702,                0.90671,                0.56018,                 1.2659,             0.00038884,             0.00038884,             0.00038884
                    140,                0.56336,                  0.378,                 1.0136,                0.83088,                0.84346,                0.89345,                0.69088,                0.90795,                0.57444,                 1.2858,             0.00038649,             0.00038649,             0.00038649
                    141,                0.57759,                0.39574,                 1.0173,                0.90136,                0.79489,                0.90052,                0.69055,                0.91887,                0.58488,                 1.3059,             0.00038413,             0.00038413,             0.00038413
                    142,                0.55752,                 0.3916,                 1.0207,                 0.8329,                0.83823,                0.86823,                0.67073,                0.92462,                0.62914,                 1.3024,             0.00038178,             0.00038178,             0.00038178
                    143,                0.55138,                0.37507,                 1.0003,                0.86143,                0.83275,                0.89258,                0.69693,                0.91795,                0.57926,                 1.2938,             0.00037942,             0.00037942,             0.00037942
                    144,                 0.5587,                0.37301,                 1.0046,                0.89384,                0.79217,                0.89673,                0.68258,                0.95217,                0.56059,                 1.3315,             0.00037706,             0.00037706,             0.00037706
                    145,                 0.5541,                0.38317,                 1.0214,                0.88137,                0.81549,                0.88198,                0.67763,                0.94819,                0.60615,                 1.3265,             0.00037471,             0.00037471,             0.00037471
                    146,                0.57117,                0.37917,                 1.0058,                0.88023,                0.82609,                0.90389,                0.68906,                0.95183,                0.55539,                 1.3191,             0.00037235,             0.00037235,             0.00037235
                    147,                0.56921,                0.38985,                 1.0208,                0.85332,                0.81448,                 0.8815,                0.66875,                0.93732,                0.59804,                 1.3179,             0.00036999,             0.00036999,             0.00036999
                    148,                0.57341,                0.39541,                 1.0088,                0.86025,                0.82342,                 0.8742,                0.67431,                0.92121,                0.60023,                  1.291,             0.00036764,             0.00036764,             0.00036764
